2016-08-18	Rad1	Rad2	Rad3	Contr1	Contr2	Contr3
gene1	8.425971859744784	18.63557771922724	3.640116916895674	6.997943584354874	27.99473574267734	3.094176049215248
gene2	2.106492964936196	15.529648099356033	5.4601753753435105	22.160154683790434	12.597631084204801	5.156960082025413
gene3	20.011683166893864	19.67088759251764	50.961636836539434	13.995887168709748	19.596315019874137	49.50681678744397
gene4	2.106492964936196	6.211859239742413	6.370204604567429	18.661182891613	5.598947148535467	14.439488229671158
gene5	58.9818030182135	16.564957972646436	6.370204604567429	765.1084985561329	22.39578859414187	19.59644831169657
gene6	8.425971859744784	13.45902835277523	0.0	15.162211099435561	18.19657823274027	16.502272262481323
gene7	5.26623241234049	16.564957972646436	8.190263063015266	20.99383075306462	1.3997367871338668	3.094176049215248
gene8	18.958436684425767	3.1059296198712065	3.640116916895674	4.66529572290325	9.798157509937068	6.188352098430496
gene9	0.0	0.0	0.0	0.0	0.0	0.0
gene10	18.958436684425767	9.31778885961362	9.100292292239185	3.498971792177437	18.19657823274027	8.251136131240662
gene11	2.106492964936196	14.494338226065631	13.650438438358778	4.66529572290325	8.398420722803202	16.502272262481323
gene12	0.0	1.0353098732904022	0.0	0.0	0.0	0.0
gene13	18.958436684425767	2.0706197465808045	11.83037997991094	5.831619653629062	1.3997367871338668	10.313920164050826
