23/02/2017	Average	StDev
ENSG00000000003	5.424855363789432	3.5138718812281238
ENSG00000000005	0.7884830189930971	1.4592308632005342
ENSG00000000419	8.427960181811017	1.6545923888688887
ENSG00000000457	7.640326952068715	1.217951663998324
ENSG00000000460	6.216190566154766	1.4533156056766836
ENSG00000000938	7.194029105648742	5.860381460607611
ENSG00000000971	6.055775845504349	2.5544221189079774
ENSG00000001036	9.142070632359943	0.9745411194360918
ENSG00000001084	8.678634908629409	1.6977414746790649
ENSG00000001167	8.668174924080446	0.7115172349559777
ENSG00000001460	7.199486342583184	1.8913352810063806
ENSG00000001461	9.707181888777212	2.0942387050076445
ENSG00000001497	9.364745765113266	1.731698759005923
ENSG00000001561	6.342876950237458	3.066920201287791
ENSG00000001617	5.572771361206587	4.187909158460194
ENSG00000001626	2.6872161424897816	2.4481095027806585
ENSG00000001629	9.137632182279702	1.9265978739061653
ENSG00000001630	9.769796435648813	1.972456237447278
ENSG00000001631	7.694772945389739	1.534272422289531
ENSG00000002016	7.503640731086844	1.0892338794072065
ENSG00000002079	1.9413500411455544	2.406453357425188
ENSG00000002330	9.424378861586273	1.9539765760473728
ENSG00000002549	9.902890559246783	2.083891211699655
ENSG00000002586	10.594226340061955	2.0723297370827227
ENSG00000002587	6.396395633011202	2.4546892213099074
ENSG00000002726	2.9005288728478096	4.090579501138757
ENSG00000002745	3.3161436531752315	2.16777451488391
ENSG00000002746	5.250936492834974	4.37528148739027
ENSG00000002822	8.999343698421228	1.9505595948559173
ENSG00000002834	11.935664830917979	2.163147925261853
ENSG00000002919	9.065298346533107	1.8425066314647922
ENSG00000002933	6.72034938964115	4.559858011664176
ENSG00000003056	10.84497390985672	1.908525660263413
ENSG00000003096	4.53728382392172	3.461533061929197
ENSG00000003137	4.9641639972382094	4.66078700652909
ENSG00000003147	6.526300710793009	2.896732464185221
ENSG00000003249	7.393346863749263	3.52423888659356
ENSG00000003393	8.333174757811875	1.9875758217246247
ENSG00000003400	6.830131883128305	2.7797004193925297
ENSG00000003402	10.825713721478289	2.6202556432833615
ENSG00000003436	8.043338551658108	2.0570140329995055
ENSG00000003509	7.440828528624889	1.3083238057804312
ENSG00000003756	10.724041908087763	1.8966468144565074
ENSG00000003987	5.789030285688167	2.436522129198951
ENSG00000003989	4.715624540211107	4.361196735510264
ENSG00000004059	11.212087495004592	2.1818969235364225
ENSG00000004139	7.087960939100548	1.8840660040996007
ENSG00000004142	9.12883707631792	1.732629740578001
ENSG00000004399	9.795943874545758	2.155869460541961
ENSG00000004455	10.117463582386167	2.0140293950471713
ENSG00000004468	6.751607067815895	3.7637336137766835
ENSG00000004478	10.989324019390864	2.1207656557909034
ENSG00000004487	9.830706962800253	1.7338659064847948
ENSG00000004534	9.884386921600507	1.7623869725377672
ENSG00000004660	9.478820519338976	3.0092240177711838
ENSG00000004700	8.667012608655376	1.766436923748142
ENSG00000004766	8.064222383623196	1.4296524139787126
ENSG00000004776	4.230886931742272	4.344013577732392
ENSG00000004777	7.859343628869596	2.958331829974532
ENSG00000004779	9.720023635000908	1.7658266507787546
ENSG00000004799	5.9900466853516	3.585612462453989
ENSG00000004809	3.2544008271154694	2.213858843501433
ENSG00000004838	5.058965202864642	1.8492489765557136
ENSG00000004846	2.777957189753122	1.7480467651092062
ENSG00000004848	3.338161656813374	4.713977645817548
ENSG00000004864	7.853013521969482	1.792874298815552
ENSG00000004866	7.739680282260955	1.4587720580884111
ENSG00000004897	9.58343106902297	1.7072621879868393
ENSG00000004939	4.938255123543942	5.517705265980897
ENSG00000004948	9.681274539292292E-4	1.627106894460688
ENSG00000004961	8.329697403331009	1.4615614923792417
ENSG00000004975	8.879492515918084	1.650484315223458
ENSG00000005001	0.5384686634160148	1.7665815416018844
ENSG00000005007	10.652629815247757	1.990603600565036
ENSG00000005020	8.711004008822869	2.1303209134387195
ENSG00000005022	11.698556332263276	2.0618829600341972
ENSG00000005059	7.636729505435779	2.1159919400817797
ENSG00000005073	0.11188798834170278	2.6943053470357263
ENSG00000005075	9.209943428662424	1.9120401992660212
ENSG00000005100	8.477806171217393	1.6514090902190839
ENSG00000005102	1.6204583582352625	2.201455309610359
ENSG00000005108	3.980407241762173	4.429728991130184
ENSG00000005156	8.275720302650043	1.4590702092418897
ENSG00000005175	7.772651840633479	1.3931612485811748
ENSG00000005187	4.014916377869741	1.8826721110819342
ENSG00000005189	5.560663286570837	1.3773808282709485
ENSG00000005194	9.420241731213293	1.6288328340583356
ENSG00000005206	9.557687908301745	2.105145317278865
ENSG00000005238	9.493622950773057	1.9506602289181607
ENSG00000005243	5.657443081500065	1.7367924197872149
ENSG00000005249	8.094263593891771	2.490015868126769
ENSG00000005302	9.37411810713372	1.7929006313387499
ENSG00000005339	10.637337049657974	1.9748530446547858
ENSG00000005379	8.410487392598602	3.996683306109659
ENSG00000005381	4.34775084374336	3.9418060840620655
ENSG00000005421	0.7013136291215093	2.0970001829515463
ENSG00000005436	7.220082474538655	1.4120885425367937
ENSG00000005448	8.469474207376122	1.6550306118411036
ENSG00000005469	6.735056705619455	0.8371022657795141
